disease_name,symptom_name
Headache,Pain
Fever,Fever
Common Cold,Sore Throat
Common Cold,Runny Nose
Common Cold,Cough
Hyperlipidemia,High Cholesterol
GERD,Heartburn
GERD,Acid Reflux
Asthma,Wheezing
Asthma,Shortness Of Breath
Rheumatoid Arthritis,Joint Pain
Rheumatoid Arthritis,Swelling
Type 2 Diabetes,High Blood Sugar
Type 2 Diabetes,Fatigue
Hypothyroidism,Fatigue
Hypothyroidism,Cold Intolerance
Hypertension,High Blood Pressure
Anxiety Disorder,Anxiety
Depression,Sadness
Bacterial Infection,Fever
Bacterial Infection,Fatigue
Blood Clot,Bleeding
Neuropathic Pain,Nerve Pain
Heart Failure,Shortness Of Breath
Heart Failure,Fatigue
Heart Failure,Swelling

Migraine,Photophobia
COPD,Shortness Of Breath
Osteoarthritis,Joint Pain
Influenza,Cough
Influenza,Fever
Stroke,Weakness
Pneumonia,Coughing
Ulcerative Colitis,Blood In Stool
Gout,Joint Pain
Eczema,Itching
Psoriasis,Rash
Insomnia,Difficulty Sleeping
Anemia,Fatigue
Acute Bronchitis,Coughing
Allergic Rhinitis,Sneezing
