drug_name,ingredient_name
Tylenol,Acetaminophen
Advil,Ibuprofen
Aspirin,Aspirin
Lipitor,Atorvastatin
Nexium,Esomeprazole
Singulair,Montelukast
Humira,Adalimumab
Januvia,Sitagliptin
Synthroid,Levothyroxine
Crestor,Rosuvastatin
Ventolin,Albuterol
Xanax,Alprazolam
Zoloft,Sertraline
Prozac,Fluoxetine
Metformin,Metformin
Lisinopril,Lisinopril
Amlodipine,Amlodipine
Warfarin,Warfarin
Plavix,Clopidogrel
Amoxicillin,Amoxicillin
Diovan,Valsartan

Sumatriptan,Sumatriptan
Gabapentin,Gabapentin
Prednisone,Prednisone
Oseltamivir,Oseltamivir
Valsartan,Valsartan
Ciprofloxacin,Ciprofloxacin
Loratadine,Loratadine
Cetirizine,Cetirizine
Furosemide,Furosemide
Naproxen,Naproxen
Clindamycin,Clindamycin
Prednisolone,Prednisolone
Dextromethorphan,Dextromethorphan
Losartan,Losartan
Ibuprofen,Ibuprofen
