drug_name,manufacturer_name
Tylenol,Kenvue
Advil,Haleon
Aspirin,Bayer
Lipitor,Pfizer
Nexium,AstraZeneca
Singulair,Merck
Humira,AbbVie
Januvia,Merck
Synthroid,AbbVie
Crestor,AstraZeneca
Ventolin,GlaxoSmithKline
Xanax,Pfizer
Zoloft,Pfizer
Prozac,Eli Lilly
Metformin,Bristol Myers Squibb
Lisinopril,Merck
Amlodipine,Pfizer
Warfarin,Bristol Myers Squibb
Plavix,Sanofi
Amoxicillin,GlaxoSmithKline
Diovan,Novartis

Sumatriptan,GlaxoSmithKline
Gabapentin,Pfizer
Prednisone,Merck
Oseltamivir,Roche
Valsartan,Novartis
Ciprofloxacin,Bayer
Loratadine,Bayer
Cetirizine,Pfizer
Furosemide,Sanofi
Naproxen,Bayer
Clindamycin,Pfizer
Prednisolone,Teva
Dextromethorphan,Johnson & Johnson
Losartan,Merck
